binary_splits,confidence_factor,config_laplace,leaves,min_num_obj,num_folds,precision,reduced_error_pruning,save_instance_data,subtree_raising,tree_size,unpruned
True,,False,28.0,1,4.0,55.0,True,False,True,55.0,False
False,0.1,True,49.0,2,,69.0,False,True,True,69.0,False
True,,True,9.0,8,3.0,17.0,True,False,True,17.0,False
False,,True,47.0,1,7.0,62.0,True,True,False,62.0,False
True,0.2,False,15.0,7,,29.0,False,True,False,29.0,False
True,0.7,False,12.0,9,,23.0,False,True,True,23.0,False
True,0.7,True,13.0,8,,25.0,False,True,True,25.0,False
False,0.4,True,79.0,1,,104.0,False,False,False,104.0,False
False,0.2,False,45.0,3,,64.0,False,False,True,64.0,False
False,0.8,False,62.0,5,,80.0,False,True,True,80.0,False
False,,True,9.0,5,2.0,17.0,True,True,True,17.0,False
True,,True,13.0,4,2.0,25.0,True,True,False,25.0,False
True,,True,25.0,2,3.0,49.0,True,False,False,49.0,False
False,,False,23.0,9,9.0,25.0,True,False,True,25.0,False
False,0.6,True,62.0,5,,80.0,False,False,False,80.0,False
False,0.7,False,38.0,6,,52.0,False,False,True,52.0,False
True,,False,9.0,8,8.0,17.0,True,False,True,17.0,False
True,,True,18.0,1,5.0,35.0,True,False,False,35.0,False
True,0.3,False,23.0,3,,45.0,False,False,False,45.0,False
True,0.2,True,18.0,5,,35.0,False,True,True,35.0,False
False,,False,8.0,9,3.0,15.0,True,True,False,15.0,False
True,0.3,True,15.0,7,,29.0,False,False,True,29.0,False
True,,False,12.0,5,5.0,23.0,True,True,False,23.0,False
False,0.5,False,31.0,9,,41.0,False,True,True,41.0,False
False,0.4,False,49.0,2,,69.0,False,True,False,69.0,False
True,,False,6.0,6,4.0,11.0,True,True,False,11.0,False
False,0.2,True,37.0,5,,53.0,False,False,False,53.0,False
True,,False,11.0,7,6.0,21.0,True,True,False,21.0,False
False,0.8,True,62.0,5,,80.0,False,False,True,80.0,False
True,,True,12.0,6,7.0,23.0,True,True,False,23.0,False
True,,True,15.0,2,5.0,29.0,True,True,True,29.0,False
False,,True,25.0,4,7.0,29.0,True,False,False,29.0,False
False,0.7,True,31.0,9,,41.0,False,False,False,41.0,False
True,0.3,False,11.0,8,,21.0,False,True,False,21.0,False
False,,False,26.0,9,6.0,31.0,True,False,True,31.0,False
True,,True,15.0,4,4.0,29.0,True,False,True,29.0,False
False,,False,36.0,4,6.0,46.0,True,True,True,46.0,False
True,0.1,True,17.0,4,,33.0,False,False,False,33.0,False
False,,False,25.0,4,7.0,29.0,True,False,True,29.0,False
True,0.5,False,18.0,5,,35.0,False,True,False,35.0,False
True,0.6,True,13.0,8,,25.0,False,False,False,25.0,False
True,0.9,True,13.0,8,,25.0,False,True,True,25.0,False
False,,True,29.0,7,4.0,37.0,True,False,True,37.0,False
True,0.5,False,14.0,6,,27.0,False,True,False,27.0,False
True,,False,10.0,7,8.0,19.0,True,False,False,19.0,False
False,0.6,False,34.0,7,,47.0,False,False,False,47.0,False
True,,False,8.0,9,5.0,15.0,True,False,False,15.0,False
True,0.6,False,23.0,3,,45.0,False,True,False,45.0,False
False,,True,8.0,7,2.0,15.0,True,False,True,15.0,False
False,,True,27.0,7,8.0,33.0,True,False,False,33.0,False
False,,False,28.0,6,8.0,35.0,True,True,True,35.0,False
True,0.4,False,28.0,2,,55.0,False,False,False,55.0,False
False,0.8,False,31.0,9,,41.0,False,True,True,41.0,False
True,,False,8.0,9,4.0,15.0,True,True,False,15.0,False
True,,True,23.0,1,2.0,45.0,True,True,True,45.0,False
True,0.5,True,12.0,8,,23.0,False,True,True,23.0,False
False,,False,30.0,3,3.0,38.0,True,True,True,38.0,False
False,0.8,True,31.0,8,,41.0,False,False,True,41.0,False
False,,False,29.0,6,4.0,37.0,True,False,True,37.0,False
False,,False,25.0,4,9.0,29.0,True,True,True,29.0,False
True,0.4,True,12.0,8,,23.0,False,False,False,23.0,False
True,,False,6.0,6,4.0,11.0,True,True,True,11.0,False
True,0.8,True,29.0,2,,57.0,False,False,False,57.0,False
True,,False,14.0,4,6.0,27.0,True,False,False,27.0,False
False,0.8,False,34.0,7,,47.0,False,False,True,47.0,False
True,0.8,False,29.0,2,,57.0,False,True,True,57.0,False
False,0.1,True,39.0,4,,54.0,False,True,False,54.0,False
False,,False,50.0,3,9.0,59.0,True,True,True,59.0,False
False,,True,25.0,4,9.0,29.0,True,False,True,29.0,False
False,,True,34.0,2,7.0,47.0,True,False,False,47.0,False
False,,True,31.0,2,8.0,41.0,True,True,False,41.0,False
True,0.3,False,37.0,1,,73.0,False,True,True,73.0,False
True,,True,9.0,9,7.0,17.0,True,True,True,17.0,False
False,,False,28.0,1,4.0,35.0,True,False,True,35.0,False
False,0.8,False,70.0,4,,88.0,False,True,False,88.0,False
False,0.1,True,34.0,6,,47.0,False,True,True,47.0,False
False,,False,25.0,4,9.0,29.0,True,False,True,29.0,False
True,0.6,True,19.0,4,,37.0,False,False,True,37.0,False
True,,False,30.0,1,6.0,59.0,True,True,False,59.0,False
False,,False,30.0,6,5.0,39.0,True,False,False,39.0,False
False,0.8,False,31.0,9,,41.0,False,True,False,41.0,False
True,0.2,True,35.0,1,,69.0,False,True,True,69.0,False
True,0.3,False,18.0,5,,35.0,False,False,False,35.0,False
True,0.9,False,23.0,3,,45.0,False,True,False,45.0,False
False,,False,8.0,8,3.0,15.0,True,False,True,15.0,False
True,0.2,False,11.0,8,,21.0,False,False,False,21.0,False
True,0.7,False,29.0,2,,57.0,False,True,True,57.0,False
True,,False,10.0,7,5.0,19.0,True,True,True,19.0,False
False,0.5,False,34.0,6,,47.0,False,False,False,47.0,False
True,0.9,False,18.0,4,,35.0,False,False,False,35.0,False
True,0.4,True,23.0,3,,45.0,False,True,False,45.0,False
True,,False,18.0,1,5.0,35.0,True,False,False,35.0,False
False,,True,27.0,8,8.0,33.0,True,False,False,33.0,False
True,0.7,False,29.0,2,,57.0,False,False,False,57.0,False
False,0.5,False,45.0,3,,64.0,False,True,True,64.0,False
